fullName,username,email,password,avatar,status
Eric Cox,user0_castillokristin,user0_samuelcarroll@example.net,Password@123,http://localhost:5000/avatars/avatar4.jpg,SUCCESS
Ryan Roberts,user1_zcobb,user1_uhernandez@example.net,Password@123,http://localhost:5000/avatars/avatar3.jpg,SUCCESS
Lisa Combs,user2_yjohnson,user2_cassidyross@example.com,Password@123,http://localhost:5000/avatars/avatar4.jpg,SUCCESS
Bianca Rasmussen,user3_lorrainemichael,user3_flee@example.org,Password@123,http://localhost:5000/avatars/avatar5.jpg,SUCCESS
Martha Smith,user4_phill,user4_william61@example.net,Password@123,http://localhost:5000/avatars/avatar3.jpg,SUCCESS
Curtis Johnston,user5_griffinrichard,user5_ryan57@example.com,Password@123,http://localhost:5000/avatars/avatar1.jpg,SUCCESS
Logan Wood,user6_paynetabitha,user6_geraldhayden@example.org,Password@123,http://localhost:5000/avatars/avatar2.jpg,SUCCESS
Melissa Stanley,user7_victoria50,user7_dennis92@example.org,Password@123,http://localhost:5000/avatars/avatar5.jpg,SUCCESS
Samantha Torres,user8_bryanterica,user8_chungclayton@example.net,Password@123,http://localhost:5000/avatars/avatar5.jpg,SUCCESS
Daniel Garcia,user9_kaitlinmurphy,user9_ericdeleon@example.org,Password@123,http://localhost:5000/avatars/avatar2.jpg,SUCCESS
Jesse Meyer,user10_juliawarner,user10_lallen@example.com,Password@123,http://localhost:5000/avatars/avatar4.jpg,SUCCESS
Julie Daniel,user11_bhill,user11_michael42@example.org,Password@123,http://localhost:5000/avatars/avatar1.jpg,SUCCESS
Sean Jones,user12_grantferrell,user12_alexandersusan@example.net,Password@123,http://localhost:5000/avatars/avatar1.jpg,SUCCESS
Crystal Swanson,user13_ellenfox,user13_oturner@example.net,Password@123,http://localhost:5000/avatars/avatar3.jpg,SUCCESS
Melinda Mccullough,user14_arthur92,user14_alexis28@example.net,Password@123,http://localhost:5000/avatars/avatar6.jpg,SUCCESS
David Hale,user15_courtneycurtis,user15_joshuajohnson@example.org,Password@123,http://localhost:5000/avatars/avatar3.jpg,SUCCESS
Phillip Quinn,user16_chavezshannon,user16_nfreeman@example.org,Password@123,http://localhost:5000/avatars/avatar3.jpg,SUCCESS
Valerie Moore,user17_lindaheath,user17_lcarter@example.net,Password@123,http://localhost:5000/avatars/avatar1.jpg,SUCCESS
Michelle Barton,user18_fkramer,user18_megan61@example.net,Password@123,http://localhost:5000/avatars/avatar3.jpg,SUCCESS
Kim Harris,user19_morrisana,user19_emilythompson@example.net,Password@123,http://localhost:5000/avatars/avatar3.jpg,SUCCESS
Mrs. Cindy Barnett,user20_pleonard,user20_amccarty@example.org,Password@123,http://localhost:5000/avatars/avatar2.jpg,SUCCESS
Justin Ellis,user21_jordancrane,user21_heather43@example.net,Password@123,http://localhost:5000/avatars/avatar4.jpg,SUCCESS
Monica Freeman,user22_nathaniel40,user22_daniel38@example.com,Password@123,http://localhost:5000/avatars/avatar5.jpg,SUCCESS
Lance Kent,user23_xsmith,user23_arnolddenise@example.org,Password@123,http://localhost:5000/avatars/avatar5.jpg,SUCCESS
Cody Peterson,user24_maldonadobrian,user24_erichardson@example.org,Password@123,http://localhost:5000/avatars/avatar6.jpg,SUCCESS
James Burton,user25_patricia17,user25_willisjames@example.com,Password@123,http://localhost:5000/avatars/avatar1.jpg,SUCCESS
April Torres,user26_zle,user26_unelson@example.net,Password@123,http://localhost:5000/avatars/avatar6.jpg,SUCCESS
Megan Parker,user27_megan27,user27_judyanderson@example.com,Password@123,http://localhost:5000/avatars/avatar6.jpg,SUCCESS
Alexandra Mcintosh,user28_stephaniemurphy,user28_amiller@example.net,Password@123,http://localhost:5000/avatars/avatar5.jpg,SUCCESS
James Chung,user29_dcollins,user29_jgross@example.net,Password@123,http://localhost:5000/avatars/avatar4.jpg,SUCCESS
Katie Lewis,user30_rachel98,user30_larrytaylor@example.org,Password@123,http://localhost:5000/avatars/avatar2.jpg,SUCCESS
Manuel Chapman,user31_cmendez,user31_mark02@example.org,Password@123,http://localhost:5000/avatars/avatar4.jpg,SUCCESS
Christina Armstrong,user32_hrollins,user32_lawrencejohn@example.org,Password@123,http://localhost:5000/avatars/avatar5.jpg,SUCCESS
Eric Matthews,user33_caitlinmcgrath,user33_qglenn@example.com,Password@123,http://localhost:5000/avatars/avatar3.jpg,SUCCESS
