fullName,username,email,password,avatar,status
Craig Baldwin,user0_baileyellis,user0_teresaoliver@example.org,Password@123,http://localhost:5000/avatars/avatar6.jpg,SUCCESS
Mary Dennis,user1_ssoto,user1_emoreno@example.net,Password@123,http://localhost:5000/avatars/avatar4.jpg,SUCCESS
Shawn Cooper,user2_barbaravazquez,user2_joseph23@example.org,Password@123,http://localhost:5000/avatars/avatar5.jpg,SUCCESS
Sean Myers,user3_cheryl19,user3_hburns@example.net,Password@123,http://localhost:5000/avatars/avatar6.jpg,SUCCESS
Ryan Walton,user4_gsmith,user4_lcasey@example.org,Password@123,http://localhost:5000/avatars/avatar2.jpg,SUCCESS
Shawn Willis,user5_robert42,user5_christopherbailey@example.org,Password@123,http://localhost:5000/avatars/avatar3.jpg,SUCCESS
Patrick Gross,user6_susan93,user6_amy67@example.com,Password@123,http://localhost:5000/avatars/avatar3.jpg,SUCCESS
Lisa Walters,user7_aaronberry,user7_loriroberts@example.org,Password@123,http://localhost:5000/avatars/avatar1.jpg,SUCCESS
Benjamin Johnson,user8_vmccullough,user8_martinezmatthew@example.org,Password@123,http://localhost:5000/avatars/avatar3.jpg,SUCCESS
Karla Anderson,user9_christopherfaulkner,user9_danalove@example.net,Password@123,http://localhost:5000/avatars/avatar5.jpg,SUCCESS
Janet Smith,user10_tanyawilliams,user10_arthurbaker@example.org,Password@123,http://localhost:5000/avatars/avatar2.jpg,SUCCESS
Victor Anderson,user11_ifarmer,user11_melinda63@example.net,Password@123,http://localhost:5000/avatars/avatar3.jpg,SUCCESS
Joseph Martinez,user12_elizabethgonzalez,user12_wilsonwilliam@example.com,Password@123,http://localhost:5000/avatars/avatar1.jpg,SUCCESS
Renee Carter,user13_cbuck,user13_sean73@example.com,Password@123,http://localhost:5000/avatars/avatar4.jpg,SUCCESS
Leslie Nichols,user14_david01,user14_robert28@example.org,Password@123,http://localhost:5000/avatars/avatar1.jpg,SUCCESS
Tammy Fox,user15_allenamber,user15_tbaker@example.org,Password@123,http://localhost:5000/avatars/avatar2.jpg,SUCCESS
Cassandra Ramos,user16_asexton,user16_rweaver@example.net,Password@123,http://localhost:5000/avatars/avatar2.jpg,SUCCESS
Anne Palmer,user17_dsmith,user17_michellekelly@example.com,Password@123,http://localhost:5000/avatars/avatar2.jpg,SUCCESS
Kenneth James,user18_ronald26,user18_whernandez@example.com,Password@123,http://localhost:5000/avatars/avatar6.jpg,SUCCESS
Benjamin Vargas,user19_markthompson,user19_parkermichelle@example.net,Password@123,http://localhost:5000/avatars/avatar3.jpg,SUCCESS
Mark Reeves,user20_mikecontreras,user20_ramirezroberta@example.net,Password@123,http://localhost:5000/avatars/avatar1.jpg,SUCCESS
John Gonzalez,user21_stonetina,user21_knoxsylvia@example.net,Password@123,http://localhost:5000/avatars/avatar3.jpg,SUCCESS
Alvin Miller,user22_gwendolyncruz,user22_westdakota@example.net,Password@123,http://localhost:5000/avatars/avatar6.jpg,SUCCESS
Jamie Howard,user23_tranedward,user23_johnsonabigail@example.org,Password@123,http://localhost:5000/avatars/avatar1.jpg,SUCCESS
Blake Smith,user24_joshua67,user24_michael51@example.com,Password@123,http://localhost:5000/avatars/avatar3.jpg,SUCCESS
Rebekah Marshall,user25_thomasjohnson,user25_bfrancis@example.org,Password@123,http://localhost:5000/avatars/avatar4.jpg,SUCCESS
Cassandra Paul,user26_alijose,user26_yvalenzuela@example.com,Password@123,http://localhost:5000/avatars/avatar6.jpg,SUCCESS
Bryan Castro,user27_nmathis,user27_rosborne@example.org,Password@123,http://localhost:5000/avatars/avatar2.jpg,SUCCESS
Barbara Byrd,user28_cvargas,user28_herreraandrea@example.com,Password@123,http://localhost:5000/avatars/avatar2.jpg,SUCCESS
Meghan Nielsen,user29_kelsey99,user29_sarah32@example.net,Password@123,http://localhost:5000/avatars/avatar5.jpg,SUCCESS
Anthony Hanson,user30_zkelley,user30_stephaniezuniga@example.com,Password@123,http://localhost:5000/avatars/avatar2.jpg,SUCCESS
Michael Ramirez,user31_robert73,user31_davistiffany@example.org,Password@123,http://localhost:5000/avatars/avatar1.jpg,SUCCESS
Alan Bass,user32_benjaminmelendez,user32_jasoncrosby@example.org,Password@123,http://localhost:5000/avatars/avatar1.jpg,SUCCESS
Dawn Lucas,user33_pattonamber,user33_pmorgan@example.org,Password@123,http://localhost:5000/avatars/avatar6.jpg,SUCCESS
Nathan Olson,user34_mary92,user34_robertcox@example.com,Password@123,http://localhost:5000/avatars/avatar4.jpg,SUCCESS
Dylan Lee,user35_jenniferperez,user35_haley75@example.org,Password@123,http://localhost:5000/avatars/avatar5.jpg,SUCCESS
David Smith,user36_bakerseth,user36_qfernandez@example.org,Password@123,http://localhost:5000/avatars/avatar5.jpg,SUCCESS
Frank Thompson,user37_marypayne,user37_irussell@example.net,Password@123,http://localhost:5000/avatars/avatar5.jpg,SUCCESS
Robert Burton,user38_jonathan57,user38_qromero@example.org,Password@123,http://localhost:5000/avatars/avatar3.jpg,SUCCESS
Matthew Walker,user39_courtneykirk,user39_rojasterri@example.net,Password@123,http://localhost:5000/avatars/avatar3.jpg,SUCCESS
Angelica Hall,user40_elizabethwarren,user40_patelsteven@example.com,Password@123,http://localhost:5000/avatars/avatar4.jpg,SUCCESS
Jasmine Sanchez,user41_whitenathan,user41_christopherjordan@example.com,Password@123,http://localhost:5000/avatars/avatar1.jpg,SUCCESS
Christine Miles,user42_courtneywilliams,user42_smoody@example.org,Password@123,http://localhost:5000/avatars/avatar6.jpg,SUCCESS
Eric Shaw,user43_ricardofrazier,user43_megan34@example.net,Password@123,http://localhost:5000/avatars/avatar4.jpg,SUCCESS
Frank Roberts,user44_hillmiranda,user44_simsronald@example.com,Password@123,http://localhost:5000/avatars/avatar3.jpg,SUCCESS
Kristen Stewart,user45_alyssaramirez,user45_hsmith@example.com,Password@123,http://localhost:5000/avatars/avatar3.jpg,SUCCESS
Daniel Dickerson,user46_staceyjohnson,user46_kirbyalicia@example.com,Password@123,http://localhost:5000/avatars/avatar5.jpg,SUCCESS
Travis Webster,user47_njones,user47_melaniehoover@example.com,Password@123,http://localhost:5000/avatars/avatar6.jpg,SUCCESS
Sabrina Powers,user48_kevin43,user48_zli@example.net,Password@123,http://localhost:5000/avatars/avatar3.jpg,SUCCESS
